client_id,national_id,onboarding_date,declared_income,employment_type,is_banked,age,sex,city_type,education_level,household_size,residence_type,base_risk_score,banked_probability
1,100466869,2024-11-19 05:06:55,15000000.0,independent,True,33,F,urban,secondary,5,owned,0.3246753246753246,0.998012421503137
2,101109756,2022-05-11 04:57:50,15000000.0,informal,True,27,M,urban,technical,1,owned,0.4329004329004328,0.9967272568791185
3,101494636,2024-04-11 21:44:18,15000000.0,formal,True,63,F,urban,secondary,2,rented,0.19480519480519473,0.9987935291811153
4,101495412,2022-04-05 03:36:58,15000000.0,formal,True,26,F,urban,primary,6,rented,0.08658008658008656,0.9987935291811153
5,102077895,2023-01-05 06:51:57,15000000.0,informal,True,27,M,urban,secondary,3,rented,0.4761904761904761,0.9967272568791185
6,102770073,2022-07-13 00:56:13,15000000.0,formal,True,46,F,urban,primary,5,owned,0.08658008658008656,0.9987935291811153
7,102921184,2022-06-27 16:49:42,15000000.0,formal,True,23,F,rural,secondary,7,rented,0.09523809523809522,0.9987935291811153
8,103606844,2022-07-12 00:06:22,15000000.0,informal,True,32,F,urban,secondary,2,rented,0.4761904761904761,0.9967272568791185
9,103941260,2022-02-18 02:41:44,15000000.0,informal,True,71,M,urban,technical,7,owned,0.5844155844155843,0.9967272568791185
10,104050112,2024-06-20 07:16:05,15000000.0,informal,True,53,F,urban,primary,1,rented,0.5194805194805193,0.9967272568791185
11,104241300,2022-03-08 22:27:25,15000000.0,formal,True,72,F,rural,primary,2,owned,0.29004329004328994,0.9987935291811153
12,104267253,2023-03-13 08:45:14,15000000.0,informal,True,38,F,rural,secondary,4,family,0.5281385281385281,0.9967272568791185
13,104776364,2024-02-05 13:59:36,15000000.0,independent,True,53,M,urban,primary,7,other,0.36796536796536794,0.998012421503137
14,104886850,2024-12-20 11:24:31,15000000.0,independent,True,31,M,urban,primary,4,owned,0.36796536796536794,0.998012421503137
15,104926034,2024-07-23 19:22:46,15000000.0,informal,True,39,F,rural,secondary,1,rented,0.5281385281385281,0.9967272568791185
16,105859928,2022-05-31 05:54:42,15000000.0,informal,True,27,F,urban,secondary,2,rented,0.4761904761904761,0.9967272568791185
17,106368317,2024-12-17 13:46:25,15000000.0,formal,True,65,M,urban,primary,6,family,0.23809523809523805,0.9987935291811153
18,106583010,2023-12-17 15:01:35,15000000.0,formal,True,28,F,rural,secondary,4,rented,0.09523809523809522,0.9987935291811153
19,106626042,2022-07-16 15:03:07,15000000.0,informal,True,29,F,urban,university,1,rented,0.4329004329004328,0.9967272568791185
20,106756329,2023-05-07 08:36:41,15000000.0,informal,True,44,F,urban,secondary,4,owned,0.4761904761904761,0.9967272568791185
21,107068276,2024-10-02 01:56:40,15000000.0,informal,True,42,M,rural,primary,3,owned,0.5714285714285713,0.9967272568791185
22,107312299,2023-03-07 05:53:22,15000000.0,independent,True,35,F,urban,primary,1,rented,0.36796536796536794,0.998012421503137
23,107692057,2022-07-21 02:00:03,15000000.0,informal,True,38,M,urban,primary,2,rented,0.5194805194805193,0.9967272568791185
24,108333803,2024-08-16 05:12:45,15000000.0,independent,True,34,M,urban,secondary,7,family,0.3246753246753246,0.998012421503137
25,108924576,2024-11-09 12:12:02,15000000.0,informal,True,70,F,rural,technical,5,family,0.6363636363636364,0.9967272568791185
26,109654880,2024-12-04 06:39:12,15000000.0,independent,True,51,F,rural,none,1,rented,0.4632034632034631,0.998012421503137
27,110882485,2024-11-12 12:03:47,15000000.0,informal,True,70,M,rural,primary,1,rented,0.7229437229437229,0.9967272568791185
28,111072417,2024-08-13 18:44:00,15000000.0,informal,True,74,F,urban,secondary,3,family,0.6277056277056277,0.9967272568791185
29,111222889,2023-05-13 15:58:59,15000000.0,independent,True,55,F,rural,secondary,4,family,0.3766233766233765,0.998012421503137
30,112516543,2022-07-30 13:39:42,15000000.0,independent,True,65,M,rural,university,4,family,0.4848484848484848,0.998012421503137
31,112542658,2023-11-07 18:52:31,15000000.0,informal,True,24,M,urban,primary,5,other,0.5194805194805193,0.9967272568791185
32,113115326,2022-08-30 18:34:09,15000000.0,informal,True,72,F,urban,primary,2,rented,0.6709956709956709,0.9967272568791185
33,114174498,2023-06-03 02:31:32,15000000.0,informal,True,45,F,urban,secondary,1,rented,0.4761904761904761,0.9967272568791185
34,114921821,2023-12-20 09:37:17,15000000.0,informal,True,58,M,rural,primary,5,rented,0.5714285714285713,0.9967272568791185
35,115901902,2024-11-02 12:07:09,15000000.0,informal,True,31,F,urban,primary,7,owned,0.5194805194805193,0.9967272568791185
36,116053105,2022-11-13 13:06:59,15000000.0,independent,True,23,F,urban,secondary,2,rented,0.3246753246753246,0.998012421503137
37,116165271,2022-10-03 20:17:48,15000000.0,informal,True,68,F,rural,secondary,3,rented,0.6796536796536796,0.9967272568791185
38,116344489,2024-03-15 12:34:35,15000000.0,formal,True,43,F,rural,primary,5,rented,0.1385281385281385,0.9987935291811153
39,117130732,2022-01-08 01:46:01,15000000.0,informal,True,25,M,rural,secondary,2,owned,0.5281385281385281,0.9967272568791185
40,117571592,2023-09-13 05:32:04,15000000.0,informal,True,55,M,urban,secondary,7,rented,0.4761904761904761,0.9967272568791185
41,117789800,2024-03-27 18:40:31,15000000.0,formal,True,21,M,urban,primary,2,rented,0.29870129870129863,0.9987935291811153
42,118505746,2023-08-27 05:52:56,15000000.0,informal,True,43,F,urban,university,4,rented,0.4329004329004328,0.9967272568791185
43,118813086,2023-02-25 10:20:14,15000000.0,formal,True,58,F,urban,primary,3,owned,0.08658008658008656,0.9987935291811153
44,119033214,2024-06-26 06:12:47,15000000.0,informal,True,59,F,rural,university,5,rented,0.4848484848484848,0.9967272568791185
45,119450871,2023-02-11 06:47:17,15000000.0,independent,True,43,M,urban,university,2,owned,0.28138528138528135,0.998012421503137
46,119744331,2024-02-18 00:48:04,15000000.0,formal,True,39,F,urban,secondary,1,owned,0.04329004329004328,0.9987935291811153
47,119902759,2023-05-24 05:38:38,15000000.0,independent,True,65,M,urban,primary,4,rented,0.5194805194805193,0.998012421503137
48,120440865,2022-01-30 02:27:49,15000000.0,informal,True,28,M,urban,technical,7,family,0.4329004329004328,0.9967272568791185
49,120523483,2023-08-04 21:58:32,15000000.0,informal,True,22,M,rural,secondary,5,rented,0.5281385281385281,0.9967272568791185
50,120904823,2022-02-24 03:47:10,15000000.0,informal,True,26,F,urban,primary,6,rented,0.5194805194805193,0.9967272568791185
51,121390848,2024-10-16 09:35:08,15000000.0,informal,True,63,M,urban,secondary,4,family,0.6277056277056277,0.9967272568791185
52,121569882,2023-10-21 16:57:22,15000000.0,informal,True,44,F,urban,secondary,1,rented,0.4761904761904761,0.9967272568791185
53,122340818,2023-02-12 09:00:29,15000000.0,informal,True,20,F,urban,university,3,family,0.6450216450216448,0.9967272568791185
54,123762279,2023-06-17 09:07:39,15000000.0,informal,True,27,F,urban,technical,7,owned,0.4329004329004328,0.9967272568791185
55,126099552,2023-11-10 00:02:43,15000000.0,informal,True,19,M,rural,university,6,rented,0.6969696969696968,0.9967272568791185
56,126323084,2022-10-12 21:39:09,15000000.0,informal,True,64,F,urban,technical,5,owned,0.5844155844155843,0.9967272568791185
57,126851292,2022-11-12 18:59:25,15000000.0,informal,True,44,F,urban,secondary,3,rented,0.4761904761904761,0.9967272568791185
58,127049120,2023-04-04 10:16:55,15000000.0,informal,True,21,M,rural,secondary,5,other,0.7402597402597401,0.9967272568791185
59,127145195,2022-10-11 03:16:37,15000000.0,formal,True,30,F,urban,university,5,rented,0.0,0.9987935291811153
60,127736050,2024-04-09 21:52:59,15000000.0,informal,True,53,F,urban,university,5,rented,0.4329004329004328,0.9967272568791185
61,128155161,2022-04-24 16:16:10,15000000.0,informal,True,51,M,urban,technical,7,owned,0.4329004329004328,0.9967272568791185
62,128597016,2024-06-24 03:20:59,15000000.0,informal,True,64,F,urban,technical,5,family,0.5844155844155843,0.9967272568791185
63,129140761,2023-01-17 15:18:11,15000000.0,formal,True,19,M,urban,secondary,2,rented,0.25541125541125537,0.9987935291811153
64,131223668,2023-09-07 12:56:31,15000000.0,informal,True,21,M,rural,primary,2,owned,0.7835497835497833,0.9967272568791185
65,131354515,2022-06-22 17:49:06,15000000.0,formal,True,20,F,rural,university,5,other,0.26406926406926395,0.9987935291811153
66,131632454,2023-02-26 23:30:35,15000000.0,independent,True,40,M,urban,none,7,rented,0.41125541125541115,0.998012421503137
67,132258476,2024-04-06 06:48:32,15000000.0,informal,True,59,M,urban,primary,7,rented,0.5194805194805193,0.9967272568791185
68,132453850,2022-10-24 09:54:39,15000000.0,independent,True,55,M,urban,secondary,5,owned,0.3246753246753246,0.998012421503137
69,132546439,2022-05-25 20:12:35,15000000.0,formal,True,29,M,urban,secondary,4,owned,0.04329004329004328,0.9987935291811153
70,132891798,2023-07-26 12:01:02,15000000.0,informal,True,55,M,urban,secondary,6,family,0.4761904761904761,0.9967272568791185
71,133273654,2022-06-27 22:15:44,15000000.0,informal,True,55,F,urban,primary,7,rented,0.5194805194805193,0.9967272568791185
72,133536080,2022-12-11 15:37:11,15000000.0,formal,True,28,M,urban,primary,1,other,0.08658008658008656,0.9987935291811153
73,133671300,2023-05-09 06:06:37,15000000.0,independent,True,60,M,rural,primary,3,owned,0.4199134199134198,0.998012421503137
74,135252568,2023-09-10 16:25:12,15000000.0,informal,True,42,F,rural,secondary,3,rented,0.5281385281385281,0.9967272568791185
75,136136169,2023-12-02 02:49:03,15000000.0,informal,True,21,F,urban,none,4,rented,0.7748917748917747,0.9967272568791185
76,136228365,2024-01-11 22:25:28,15000000.0,formal,True,40,M,rural,technical,3,rented,0.05194805194805194,0.9987935291811153
77,136971183,2024-07-13 11:51:49,15000000.0,informal,True,61,M,urban,primary,3,rented,0.6709956709956709,0.9967272568791185
78,137104930,2022-03-14 08:33:41,15000000.0,formal,True,57,M,urban,secondary,1,rented,0.04329004329004328,0.9987935291811153
79,137452756,2023-02-01 17:52:02,15000000.0,informal,True,33,M,urban,secondary,1,rented,0.4761904761904761,0.9967272568791185
80,137498787,2022-01-02 04:03:10,15000000.0,formal,True,61,M,urban,secondary,4,family,0.19480519480519473,0.9987935291811153
81,138115496,2022-01-11 08:09:12,15000000.0,independent,True,40,F,urban,university,7,owned,0.28138528138528135,0.998012421503137
82,138846373,2022-08-21 10:38:35,15000000.0,formal,True,44,F,urban,primary,3,rented,0.08658008658008656,0.9987935291811153
83,138897187,2023-10-17 23:12:12,15000000.0,formal,True,22,M,urban,secondary,2,rented,0.04329004329004328,0.9987935291811153
84,139127555,2024-09-06 11:45:43,15000000.0,formal,True,74,F,urban,technical,2,owned,0.15151515151515146,0.9987935291811153
85,139753907,2024-04-27 00:39:51,15000000.0,formal,True,65,M,urban,none,7,owned,0.2813852813852813,0.9987935291811153
86,140184179,2023-12-09 16:31:16,15000000.0,independent,True,29,M,urban,technical,5,other,0.28138528138528135,0.998012421503137
87,140306353,2024-05-02 02:08:43,15000000.0,informal,True,49,M,urban,university,5,owned,0.4329004329004328,0.9967272568791185
88,140419557,2022-07-08 07:07:04,15000000.0,formal,True,62,M,urban,secondary,2,owned,0.19480519480519473,0.9987935291811153
89,140655805,2024-07-08 14:52:12,15000000.0,informal,True,46,F,urban,university,7,rented,0.4329004329004328,0.9967272568791185
90,142087396,2024-09-01 20:08:12,15000000.0,independent,True,30,M,urban,secondary,2,owned,0.3246753246753246,0.998012421503137
91,142636617,2022-04-15 02:01:49,15000000.0,formal,True,73,F,urban,secondary,7,owned,0.19480519480519473,0.9987935291811153
92,142762300,2023-05-30 14:26:31,15000000.0,informal,True,33,M,urban,primary,7,owned,0.5194805194805193,0.9967272568791185
